icd9_code,cipi_code
02.11,02.11.0C
02.12,02.12.1C
02.12,02.12.1Y
02.12,02.12.2Y
02.12,02.12.3C
02.12,02.12.4C
02.12,02.12.50
02.12,02.12.6C
02.12,02.12.Z0
02.12,02.12.Z1
02.13,02.13.0C
02.13,02.13.1C
02.13,02.13.Z0
02.14,02.14.0C
02.14,02.14.0Y
02.2,02.20.0C
02.2,02.20.0Y
02.2,02.20.1C
02.2,02.20.1Y
02.2,02.20.2C
02.2,02.20.3C
02.2,02.20.3Y
02.2,02.20.4Y
02.2,02.20.5Y
02.2,02.20.6Y
02.2,02.20.7Y
02.2,02.2Z.00
02.31,02.31.Z0
02.32,02.32.0H
02.32,02.32.1H
02.33,02.33.0H
02.34,02.34.0H
02.34,02.34.1H
02.35,02.39.Z0
02.39,02.35.1C
02.39,02.35.1Y
02.39,02.35.2C
02.39,02.35.2Y
02.39,02.39.0P
02.39,02.39.Z0
02.41,02.41.00
02.42,02.42.1C
02.42,02.42.20
02.42,02.42.3C
02.42,02.42.40
02.42,02.42.Z0
02.42,02.4Z.00
02.43,02.43.00
02.43,02.43.Z0
02.91,02.91.0C
02.92,02.92.0C
02.93,02.93.1C
02.93,02.93.2C
02.93,02.93.3C
02.93,02.93.5T
02.93,02.93.Z0
02.94,02.94.10
02.94,02.94.20
02.94,02.94.30
02.95,02.95.00
02.96,01.1Z.00
02.99,02.51.10
02.99,02.51.20
02.99,02.51.30
02.99,02.51.40
02.99,02.51.Z0
02.99,02.9Z.00
02.99,02.9Z.10
02.99,02.9Z.20
03.01,03.01.0C
03.01,03.01.Z0
03.02,03.02.0C
03.02,03.02.Z0
03.09,03.03.1C
03.09,03.03.1M
03.09,03.03.1Y
03.09,03.04.1C
03.09,03.04.1M
03.09,03.04.1Y
03.09,03.05.1C
03.09,03.05.1M
03.09,03.05.1Y
03.09,03.06.1C
03.09,03.06.1M
03.09,03.06.1Y
03.09,03.08.10
03.09,03.08.Z0
03.09,03.09.10
03.09,03.09.20
03.09,03.09.30
03.09,03.09.40
03.09,03.09.Z0
03.1,03.11.1C
03.1,03.11.1Y
03.1,03.12.1C
03.1,03.12.1Y
03.1,03.13.1C
03.1,03.13.1Y
03.1,03.14.1C
03.1,03.14.1Y
03.1,03.1Z.00
03.21,03.21.0P
03.21,03.21.1P
03.21,03.21.2P
03.21,03.21.ZP
03.29,03.29.0P
03.29,03.29.1P
03.29,03.2Z.00
03.31,03.31.1P
03.31,03.31.2P
03.32,03.32.1C
03.32,03.32.2C
03.32,03.32.3C
03.32,03.32.4C
03.32,03.32.4P
03.32,03.32.Z0
03.39,03.3Z.00
03.4,03.40.0C
03.4,03.40.0K
03.4,03.40.0Y
03.4,03.40.1C
03.4,03.40.1Y
03.4,03.40.2C
03.4,03.40.2Y
03.4,03.40.30
03.4,03.40.40
03.4,03.40.50
03.4,03.41.1C
03.4,03.41.2C
03.4,03.41.2K
03.4,03.41.Z0
03.4,03.42.1C
03.4,03.42.2C
03.4,03.42.2K
03.4,03.42.Z0
03.4,03.43.1C
03.4,03.43.2C
03.4,03.43.2K
03.4,03.43.Z0
03.4,03.44.1C
03.4,03.44.2C
03.4,03.44.2K
03.4,03.44.Z0
03.4,03.4Z.00
03.51,03.51.0C
03.52,03.52.0C
03.52,03.52.0P
03.53,03.53.0C
03.53,03.53.1C
03.53,03.53.2C
03.53,03.53.Z0
03.59,03.54.0C
03.59,03.55.0C
03.59,03.56.1C
03.59,03.56.1M
03.59,03.59.1C
03.59,03.59.2C
03.59,03.59.Z0
03.6,03.60.0C
03.6,03.60.0Y
03.71,03.71.0H
03.72,03.72.0H
03.79,03.73.10
03.79,03.73.20
03.79,03.79.00
03.79,03.79.10
03.79,03.79.20
03.79,03.79.Z0
03.8,03.80.0P
03.90,03.90.0P
03.90,03.90.0Y
03.90,03.90.1P
03.90,03.90.1Y
03.90,03.90.2P
03.90,03.90.3P
03.90,03.90.Z0
03.91,03.91.1P
03.91,03.91.2P
03.91,03.91.3P
03.91,03.91.40
03.91,03.91.5P
03.91,03.91.Z0
03.92,03.92.1P
03.92,03.92.2P
03.92,03.92.Z0
03.92,03.93.10
03.93,03.93.20
03.93,03.93.3C
03.93,03.93.3P
03.93,03.93.3Y
03.93,03.93.4C
03.93,03.93.4P
03.93,03.93.4Y
03.93,03.93.50
03.93,03.93.Z0
03.94,03.94.10
03.94,03.94.20
03.95,03.95.0P
03.96,03.96.1P
03.96,03.96.2P
03.96,03.96.3P
03.96,03.96.4P
03.96,03.96.ZP
03.97,03.97.0P
03.97,03.97.Z0
03.98,03.98.10
03.98,03.98.Z0
03.99,03.99.10
03.99,03.99.Z0
04.01,04.01.0C
04.01,04.01.0Y
04.01,04.01.0Z
04.02,04.02.1C
04.02,04.02.2K
04.03,04.03.10
04.03,04.03.20
04.03,04.03.30
04.03,04.03.40
04.03,04.03.50
04.03,04.03.60
04.03,04.03.70
04.03,04.03.80
04.03,04.03.90
04.03,04.04.20
04.03,04.04.30
04.03,04.04.40
04.03,04.04.50
04.03,04.04.60
04.03,04.04.70
04.03,04.04.80
04.03,04.04.90
04.03,04.04.A0
04.04,04.04.1C
04.05,04.05.0C
04.05,04.05.0P
04.05,04.05.1P
04.05,04.05.2P
04.05,04.05.Z0
04.06,04.06.Z0
04.06,04.06.Z1
04.07,04.07.1C
04.07,04.07.2C
04.07,04.07.2M
04.07,04.07.30
04.07,04.07.40
04.07,04.07.50
04.07,04.07.60
04.07,04.07.70
04.07,04.07.80
04.07,04.07.9C
04.07,04.07.A0
04.07,04.07.B0
04.07,04.0Z.00
04.11,04.11.1P
04.11,04.11.2P
04.11,04.11.3P
04.11,04.13.1P
04.11,04.13.20
04.11,05.1Z.00
04.12,04.12.1C
04.12,04.12.2C
04.12,04.12.3C
04.19,04.1Z.00
04.2,04.21.10
04.2,04.21.20
04.2,04.21.30
04.2,04.21.40
04.2,04.21.50
04.2,04.21.60
04.2,04.21.70
04.2,04.21.80
04.2,04.21.90
04.2,04.22.10
04.2,04.22.20
04.2,04.22.30
04.2,04.22.40
04.2,04.22.50
04.2,04.22.60
04.2,04.22.70
04.2,04.22.80
04.2,04.22.90
04.2,04.23.10
04.2,04.23.20
04.2,04.23.30
04.2,04.23.40
04.2,04.23.50
04.2,04.23.60
04.2,04.23.70
04.2,04.23.80
04.2,04.23.90
04.2,04.2Z.00
04.2,04.2Z.10
04.3,04.31.0C
04.3,04.31.0M
04.3,04.31.Z0
04.3,04.32.1C
04.3,04.32.1M
04.3,04.32.2C
04.3,04.32.2M
04.3,04.32.3C
04.3,04.32.3M
04.3,04.32.4C
04.3,04.32.4M
04.3,04.32.5C
04.3,04.32.5M
04.3,04.32.6C
04.3,04.32.6M
04.3,04.32.7C
04.3,04.32.7M
04.3,04.32.Z0
04.3,04.33.0C
04.3,04.34.1C
04.3,04.34.2C
04.3,04.34.3C
04.3,04.34.4C
04.3,04.34.5C
04.3,04.34.6C
04.3,04.34.7C
04.3,04.34.Z0
04.3,04.3Z.00
04.41,04.41.0C
04.41,04.41.Z0
04.42,04.42.1C
04.42,04.42.2C
04.42,04.42.2P
04.42,04.42.Z0
04.43,04.43.0C
04.43,04.43.0M
04.43,04.43.0Z
04.44,04.44.00
04.49,04.45.0C
04.49,04.45.0M
04.49,04.46.0C
04.49,04.47.0C
04.49,04.49.1C
04.49,04.49.1M
04.49,04.49.2C
04.49,04.49.2M
04.49,04.49.3C
04.49,04.49.40
04.49,04.49.50
04.49,04.49.60
04.49,04.49.70
04.49,04.49.80
04.49,04.49.90
04.49,04.49.Z0
04.5,04.51.10
04.5,04.51.20
04.5,04.52.10
04.5,04.5Z.00
04.6,04.61.1C
04.6,04.61.2C
04.6,04.61.Z0
04.6,04.62.1C
04.6,04.62.2C
04.6,04.62.3C
04.6,04.62.4C
04.6,04.62.5C
04.6,04.62.6C
04.6,04.62.7C
04.6,04.62.8C
04.6,04.62.9C
04.6,04.62.AC
04.6,04.62.BC
04.6,04.62.CC
04.6,04.62.Z0
04.71,04.71.00
04.72,04.72.00
04.73,04.73.00
04.74,04.74.00
04.74,04.74.10
04.74,04.74.Z1
04.74,04.74.Z2
04.75,04.75.00
04.76,04.76.1C
04.76,04.76.2C
04.76,04.76.3C
04.76,04.76.4C
04.76,04.76.Z0
04.79,04.77.10
04.79,04.77.2C
04.79,04.77.30
04.79,04.77.40
04.79,04.77.Z0
04.79,04.79.Z0
04.80,04.80.0P
04.81,04.81.1P
04.81,04.81.2P
04.81,04.81.3P
04.81,04.81.ZP
04.89,04.89.0P
04.89,04.92.10
04.91,04.91.00
04.92,04.92.20
04.92,04.92.30
04.92,04.92.40
04.92,04.92.50
04.92,04.92.60
04.92,04.92.70
04.92,04.92.Z0
04.93,04.93.10
04.93,04.93.20
04.99,04.9Z.00
04.99,04.9Z.10
05.0,05.00.00
05.11,05.11.0C
05.19,05.1Z.00
05.21,05.21.00
05.22,05.22.1C
05.22,05.22.Z0
05.23,05.23.1C
05.23,05.23.Z0
05.24,05.24.00
05.25,05.25.0C
05.25,05.25.1B
05.25,05.25.ZB
05.29,05.26.1S
05.29,05.2Z.00
05.31,05.31.1P
05.31,05.31.2P
05.31,05.31.3P
05.31,05.31.4P
05.31,05.31.5N
05.31,05.31.5P
05.31,05.31.Z0
05.32,05.32.0P
05.39,05.3Z.00
05.81,05.81.0A
05.81,05.81.0C
05.89,05.8Z.00
05.9,05.9Z.00
06.01,06.01.0P
06.01,06.01.1P
06.02,06.02.00
06.09,06.09.00
06.09,06.09.0C
06.09,06.09.1C
06.09,06.09.2C
06.09,06.09.3C
06.09,06.09.Z0
06.11,06.11.0P
06.11,06.13.0P
06.11,06.1Z.00
06.12,06.12.0C
06.13,06.13.0C
06.13,06.13.0Z
06.19,06.1Z.00
06.2,06.20.0M
06.2,06.20.1C
06.2,06.20.1M
06.2,06.20.2C
06.2,06.20.30
06.2,06.20.40
06.2,06.20.OC
06.2,06.2Z.00
06.31,06.31.00
06.39,06.32.00
06.39,06.39.00
06.39,06.39.Z0
06.4,06.40.1C
06.4,06.40.1M
06.4,06.40.2C
06.4,06.40.2M
06.4,06.40.30
06.4,06.40.40
06.4,06.4Z.00
06.50,06.5Z.00
06.51,06.51.0C
06.52,06.52.0C
06.6,06.60.00
06.7,06.70.0C
06.81,06.81.0C
06.81,06.81.0M
06.81,06.81.1C
06.81,06.81.1M
06.81,06.81.Z0
06.89,06.82.00
06.89,06.8Z.00
06.91,06.91.00
06.92,06.92.00
06.93,06.93.00
06.94,06.94.00
06.95,06.95.00
06.98,06.98.1P
06.98,06.98.2P
06.98,06.98.Z0
06.99,06.99.Z0
07.00,07.1Z.10
07.01,07.01.0C
07.02,07.02.0C
07.11,07.11.0P
07.12,07.12.0C
07.13,07.13.0C
07.13,07.13.0P
07.13,07.13.1P
07.14,07.14.0C
07.14,07.14.0P
07.14,07.14.0Y
07.14,07.14.1Y
07.15,07.15.0Z
07.16,07.16.0C
07.16,07.16.0P
07.16,07.16.0Z
07.17,07.17.0C
07.17,07.17.0P
07.17,07.17.1P
07.17,07.17.Z0
07.19,07.1Z.10
07.19,07.1Z.20
07.19,07.1Z.30
07.21,07.21.00
07.21,07.21.10
07.22,07.22.0C
07.22,07.22.0M
07.22,07.22.0S
07.22,07.22.1C
07.22,07.22.Z0
07.29,07.29.Z0
07.3,07.30.0C
07.3,07.30.0M
07.3,07.30.0S
07.3,07.30.1C
07.3,07.30.1M
07.3,07.30.3C
07.3,07.30.3S
07.3,07.30.Z0
07.41,07.41.00
07.41,07.41.Z0
07.42,07.42.00
07.43,07.43.00
07.44,07.44.00
07.45,07.45.00
07.49,07.49.Z0
07.51,07.51.00
07.52,07.52.00
07.53,07.53.00
07.54,07.54.00
07.59,07.5Z.00
07.61,07.61.0C
07.61,07.61.1C
07.61,07.61.2C
07.61,07.61.3C
07.61,07.61.4C
07.61,07.61.ZC
07.62,07.62.0Y
07.63,07.63.0Z
07.63,07.63.1C
07.63,07.73.0K
07.64,07.64.0C
07.64,07.64.1C
07.64,07.64.ZC
07.65,07.65.0Y
07.68,07.69.0Z
07.69,07.69.0Z
07.71,07.71.00
07.72,07.72.00
07.72,07.72.10
07.72,07.72.20
07.72,07.72.Z0
07.79,07.7Z.00
07.80,07.82.0Z
07.81,07.81.0C
07.81,07.81.0S
07.81,07.81.0Z
07.82,07.82.0C
07.82,07.82.0S
07.82,07.82.0Z
07.91,07.91.00
07.92,07.92.00
07.93,07.93.00
07.94,07.94.00
07.99,07.99.00
07.99,07.99.Z0
08.01,08.01.00
08.02,08.02.00
08.09,08.0Z.00
08.11,08.11.00
08.19,08.1Z.00
08.19,09.11.0P
08.19,09.12.0P
08.19,09.19.00
08.19,09.19.Z0
08.20,08.20.00
08.20,08.20.Z0
08.21,08.21.10
08.21,08.21.20
08.22,08.22.00
08.22,08.22.10
08.23,08.23.00
08.23,08.23.10
08.24,08.24.00
08.24,08.24.10
08.25,08.25.00
08.31,08.31.00
08.32,08.32.00
08.33,08.33.00
08.34,08.34.00
08.35,08.35.00
08.36,08.36.00
08.36,08.36.Z0
08.37,08.37.00
08.38,08.38.00
08.41,08.41.00
08.42,08.42.00
08.43,08.43.00
08.44,08.44.10
08.44,08.44.20
08.44,08.44.30
08.44,08.44.Z0
08.49,08.45.00
08.49,08.4Z.00
08.51,08.51.00
08.52,08.52.00
08.59,08.53.00
08.59,08.54.00
08.59,08.55.00
08.59,08.5Z.00
08.61,08.61.00
08.61,08.61.10
08.62,08.62.00
08.62,08.62.10
08.63,08.63.00
08.64,08.64.00
08.64,08.64.10
08.69,08.65.00
08.69,08.67.00
08.69,08.6Z.00
08.70,08.7Z.00
08.71,08.71.00
08.72,08.72.00
08.73,08.73.00
08.74,08.74.00
08.81,08.81.00
08.82,08.82.00
08.83,08.83.00
08.84,08.84.00
08.85,08.85.00
08.86,08.86.00
08.87,08.87.00
08.89,08.88.00
08.89,08.8Z.00
08.89,08.99.0P
08.91,08.91.00
08.92,08.92.00
08.93,08.93.Z0
08.99,08.99.Z0
09.0,09.00.00
09.11,09.11.0C
09.12,09.12.0C
09.19,09.4Z.00
09.20,09.3Z.00
09.21,09.21.00
09.22,09.22.00
09.23,09.23.00
09.23,09.23.10
09.3,09.3Z.00
09.41,09.41.00
09.42,09.42.00
09.43,09.43.00
09.43,09.43.1N
09.44,09.44.00
09.49,09.4Z.00
09.51,09.51.00
09.51,09.51.10
09.52,09.52.00
09.53,09.53.00
09.59,09.5Z.00
09.6,09.60.00
09.71,09.71.00
09.72,09.72.00
09.73,09.73.00
09.81,09.81.1N
09.81,09.81.Z0
09.82,09.82.00
09.83,09.83.00
09.91,09.91.00
09.91,09.91.Z0
09.99,09.9Z.00
10.0,10.00.00
10.1,10.10.00
10.21,10.21.00
10.21,10.21.P0
10.29,10.2Z.00
10.31,10.31.00
10.31,10.31.10
10.31,10.31.20
10.32,10.32.00
10.33,10.33.00
10.33,10.33.Z0
10.41,10.41.00
10.42,10.42.00
10.43,10.43.00
10.44,10.44.00
10.44,10.44.Z0
10.49,10.4Z.00
10.5,10.50.00
10.5,10.50.10
10.5,10.50.20
10.6,10.60.00
10.91,10.91.0P
10.99,10.92.10
10.99,10.92.20
10.99,10.9Z.00
11.0,11.00.00
11.1,11.10.00
11.21,11.21.00
11.22,11.22.0C
11.22,11.22.0P
11.29,11.2Z.00
11.31,11.31.00
11.32,11.32.00
