code,description,type,parent,is_billable
38.88.2C,"Occlusione chirurgica di arteria femorale superficiale, a cielo aperto",procedura,38.88,1
38.88.3C,"Occlusione chirurgica di arteria poplitea, a cielo aperto",procedura,38.88,1
38.88.4C,"Occlusione chirurgica di arteria tibiale, a cielo aperto",procedura,38.88,1
38.88.5C,"Occlusione chirurgica di fistola arterovenosa dell'arto inferiore, a cielo aperto",procedura,38.88,1
38.88.Z0,Altra occlusione chirurgica di arterie arto inferiore,procedura,38.88,1
38.89,Altra occlusione chirurgica di vene arto inferiore,category,38.8,0
38.89.1C,"Occlusione chirurgica di vena femorale comune, a cielo aperto",procedura,38.89,1
38.89.2C,"Occlusione chirurgica di vena femorale superficiale, a cielo aperto",procedura,38.89,1
38.89.3C,"Occlusione chirurgica di vena poplitea, a cielo aperto",procedura,38.89,1
38.89.4C,"Occlusione chirurgica di vena tibiale, a cielo aperto",procedura,38.89,1
38.89.Z0,Altra occlusione chirurgica di vene arto inferiore,procedura,38.89,1
38.8A,Occlusione endovascolare di vasi intracranici,category,38.8,0
38.8A.1B,"Embolizzazione intracranica con spirali, endovascolare percutanea",procedura,38.8A,1
38.8A.2B,"Embolizzazione intracranica con microcoils, endovascolare percutanea",procedura,38.8A,1
38.8A.3B,"Embolizzazione intracranica con adesivo tissutale, endovascolare percutanea",procedura,38.8A,1
38.8A.4B,"Embolizzazione intracranica con polimeri non adesivi, endovascolare percutanea",procedura,38.8A,1
38.8A.5B,Embolizzazione intracranica con diversori di flusso,procedura,38.8A,1
38.8A.6B,Embolizzazione intracranica con liquidi embolizzanti,procedura,38.8A,1
38.8A.ZB,Altra embolizzazione intracranica mediante catetere,procedura,38.8A,1
38.8B,Occlusione endovascolare di vasi del capo e del collo (tratto extracranico),category,38.8,0
38.8B.1B,Embolizzazione endovascolare percutanea di vasi del capo/collo [spirali],procedura,38.8B,1
38.8B.2B,Embolizzazione endovascolare percutanea di vasi del capo/collo [microcoils],procedura,38.8B,1
38.8B.3B,Embolizzazione endovascolare percutanea di vasi del capo/collo [plug],procedura,38.8B,1
38.8B.3D,Embolizzazione endovascolare [accesso chirurgico] di vasi del capo/collo [plug],procedura,38.8B,1
38.8B.4B,Embolizzazione endovascolare dei vasi extracranici di testa e collo con diversori di flusso,procedura,38.8B,1
38.8B.5B,Embolizzazione endovascolare dei vasi extracranici di testa e collo con sostanze o liquidi embolizzanti,procedura,38.8B,1
38.8B.6B,Embolizzazione percutanea-transluminale di malformazioni vascolari vasi extracranici mediante microcateteri,procedura,38.8B,1
38.8B.7B,Embolizzazione endovascolare percutanea di vasi del capo/collo mediante adesivo tissutale,procedura,38.8B,1
38.8B.8B,Embolizzazione malformazioni arteriovenose midollari cervicali [liquidi embolizzanti],procedura,38.8B,1
38.8B.9B,Embolizzazione malformazioni arteriovenose midollari cervicali [adesivo tissutale],procedura,38.8B,1
38.8B.ZB,Altra occlusione endovascolare percutanea di vasi del capo e del collo,procedura,38.8B,1
38.8B.ZD,Altra occlusione endovascolare chirurgica di vasi del capo e del collo,procedura,38.8B,1
38.8C,Occlusione endovascolare di vasi dell’arto superiore,category,38.8,0
38.8C.1B,Embolizzazione endovascolare percutanea di vasi dell'arto superiore [spirali],procedura,38.8C,1
38.8C.2B,Embolizzazione endovascolare percutanea di vasi dell'arto superiore [microcoils],procedura,38.8C,1
38.8C.3B,Embolizzazione endovascolare percutanea di vasi dell'arto superiore [plug],procedura,38.8C,1
38.8C.3D,Embolizzazione endovascolare [accesso chirurgico] di vasi dell'arto superiore [plug],procedura,38.8C,1
38.8C.4B,Embolizzazione endovascolare percutanea di vasi dell'arto superiore mediante adesivo tissutale,procedura,38.8C,1
38.8C.5B,Embolizzazione endovascolare percutanea di vasi dell'arto superiore [microsfere],procedura,38.8C,1
38.8C.ZB,Altra occlusione endovascolare percutanea di vasi dell'arto superiore,procedura,38.8C,1
38.8C.ZD,Altra occlusione endovascolare chirurgica di vasi dell'arto superiore,procedura,38.8C,1
38.8D,Occlusione endovascolare dell'aorta addominale,category,38.8,0
38.8D.0D,Embolizzazione endovascolare chirurgica di aorta addominale,procedura,38.8D,1
38.8D.Z0,Altra occlusione endovascolare di aorta addominale,procedura,38.8D,1
38.8E,Occlusione endovascolare di vasi toracici,category,38.8,0
38.8E.1B,Embolizzazione endovascolare percutanea di vasi toracici [spirali],procedura,38.8E,1
38.8E.2B,Embolizzazione endovascolare percutanea di vasi toracici [microcoils],procedura,38.8E,1
38.8E.3B,Embolizzazione endovascolare percutanea di vasi toracici [plug],procedura,38.8E,1
38.8E.3D,Embolizzazione endovascolare [accesso chirurgico] di vasi toracici [plug],procedura,38.8E,1
38.8E.4B,Embolizzazione endovascolare percutenea di vasi toracici [graft occludente],procedura,38.8E,1
38.8E.4D,Embolizzazione endovascolare [accesso chirurgico] di vasi toracici [graft occludente],procedura,38.8E,1
38.8E.5B,Chiusura percutanea del dotto di Botallo con spirali metalliche,procedura,38.8E,1
38.8E.6B,Occlusione percutanea-transluminale di difetto dotto arterioso di Botallo [PDA] con dispositivo di chiusura a ombrellino [PFO],procedura,38.8E,1
38.8E.7B,Occlusione percutanea-transluminale di difetto dotto arterioso di Botallo [PDA] con liquidi embolizzanti,procedura,38.8E,1
38.8E.8B,Embolizzazione endovascolare percutanea di vasi toracici mediante adesivo tissutale,procedura,38.8E,1
38.8E.9B,Embolizzazione malformazioni arteriovenose midollari toraciche [liquido embolizzante],procedura,38.8E,1
38.8E.AB,Embolizzazione malformazioni arteriovenose midollari toraciche [adesivo tissutale],procedura,38.8E,1
38.8E.ZB,Altra occlusione endovascolare percutanea di vasi toracici,procedura,38.8E,1
38.8E.ZD,Altra occlusione endovascolare chirurgica di vasi toracici,procedura,38.8E,1
38.8F,Occlusione endovascolare di arterie addominali,category,38.8,0
38.8F.1B,Embolizzazione endovascolare percutanea di arteria addominale [spirali],procedura,38.8F,1
38.8F.2B,Embolizzazione endovascolare percutanea di arteria addominale [microcoils],procedura,38.8F,1
38.8F.3B,Embolizzazione endovascolare percutanea di arteria addominale [plug],procedura,38.8F,1
38.8F.3D,Embolizzazione endovascolare con accesso chirurgico di arteria addominale [plug],procedura,38.8F,1
38.8F.4B,Embolizzazione endovascolare percutenea di arteria addominale [graft occludente],procedura,38.8F,1
38.8F.4D,Embolizzazione endovascolare con accesso chirurgico di arteria addominale [graft occludente],procedura,38.8F,1
38.8F.5B,Embolizzazione endovascolare percutanea di arteria addominale mediante adesivo tissutale,procedura,38.8F,1
38.8F.6B,Embolizzazione endovascolare percutanea di arteria addominale [microsfere],procedura,38.8F,1
38.8F.7B,Embolizzazione malformazioni arteriovenose midollari lombosacrali [liquido embolizzante],procedura,38.8F,1
38.8F.8B,Embolizzazione malformazioni arteriovenose midollari lombosacrali [adesivo tissutale],procedura,38.8F,1
38.8F.ZB,Altra occlusione endovascolare percutanea di arterie addominali,procedura,38.8F,1
38.8F.ZD,Altra occlusione endovascolare chirurgica di arterie addominali,procedura,38.8F,1
38.8G,Occlusione endovascolare di vene addominali,category,38.8,0
38.8G.0B,Embolizzazione endovascolare percutanea di vena addominale,procedura,38.8G,1
38.8G.0D,Embolizzazione endovascolare chirurgica di vena addominale,procedura,38.8G,1
38.8H,Occlusione endovascolare di arterie dell'arto inferiore,category,38.8,0
38.8H.1B,Embolizzazione endovascolare percutanea di arterie dell'arto inferiore [spirali],procedura,38.8H,1
38.8H.2B,Embolizzazione endovascolare percutanea di arterie dell'arto inferiore [microcoils],procedura,38.8H,1
38.8H.3B,Embolizzazione endovascolare percutanea di arterie dell'arto inferiore [plug],procedura,38.8H,1
38.8H.3D,Embolizzazione endovascolare [accesso chirurgico] di arterie dell'arto inferiore [plug],procedura,38.8H,1
38.8H.ZB,Altra occlusione endovascolare percutanea di arterie dell'arto inferiore,procedura,38.8H,1
38.8H.ZD,Altra occlusione endovascolare chirurgica di arterie dell'arto inferiore,procedura,38.8H,1
38.8I,Occlusione endovascolare di vene dell'arto inferiore,category,38.8,0
38.8I.0B,Embolizzazione endovascolare percutanea di vena dell'arto inferiore,procedura,38.8I,1
38.8I.0D,Embolizzazione endovascolare chirurgica di vena dell'arto inferiore,procedura,38.8I,1
38.8Z.00,Altra occlusione chirurgica di vasi,procedura,38.8Z,1
38.8Z.0B,Altra occlusione endovascolare (percutanea) di vasi,procedura,38.8Z,1
38.8Z.0C,Altra occlusione chirurgica a cielo aperto di vasi,procedura,38.8Z,1
38.8Z.0D,Altra occlusione endovascolare (chirurgica) di vasi,procedura,38.8Z,1
38.9,Puntura di vasi,block,38,0
38.90,Cateterismo venoso,category,38.9,0
38.90.0B,Cateterismo venoso,procedura,38.90,1
38.90.1B,Cateterismo delle vene surrenaliche,procedura,38.90,1
38.90.2B,Cateterismo dei seni petrosi,procedura,38.90,1
38.91,Cateterismo arterioso,category,38.9,0
38.91.0B,Cateterismo arterioso,procedura,38.91,1
38.91.1B,Impianto e sostituzione di sistema di cateterismo permanente in arteria epatica,procedura,38.91,1
38.92,Cateterismo della vena ombelicale,category,38.9,0
38.92.0B,Cateterismo della vena ombelicale,procedura,38.92,1
38.93,Altro cateterismo venoso non classificato altrove,category,38.9,0
38.93.0D,"Impianto di sistema di cateterismo venoso a permanenza, totalmente impiantabile (Port-A-Cath)",procedura,38.93,1
38.93.1B,Cateterismo venoso per nutrizione parenterale,procedura,38.93,1
38.93.2B,Impianto di sistema di cateterismo venoso a permanenza (tunnellizzato) (Groshong),procedura,38.93,1
38.93.3B,Sostituzione di sistema di cateterismo venoso a permanenza (tunnellizzato) (Groshong),procedura,38.93,1
38.93.4B,Impianto di sistema di catetere venoso centrale (non tunnellizzato),procedura,38.93,1
38.93.4D,Inserzione di catetere venoso centrale con accesso chirurgico,procedura,38.93,1
38.93.5B,Sostituzione di sistema di catetere venoso centrale (non tunnellizzato),procedura,38.93,1
38.93.6B,Impianto di catetere venoso centrale a inserimento periferico [PICC],procedura,38.93,1
38.93.7B,Sostituzione di catetere venoso centrale a inserimento periferico [PICC],procedura,38.93,1
38.93.80,Disostruzione di catetere venoso centrale o di doppio catetere giugulare o femorale,procedura,38.93,1
38.93.90,Terapia intraluminale locale del catetere (lock therapy),procedura,38.93,1
38.93.9B,Posizionamento di catetere venoso centrale o di doppio catetere giugulare o femorale,procedura,38.93,1
38.93.AB,"Sostituzione di sistema di cateterismo venoso a permanenza, totalmente impiantabile (Port-A-Cath)",procedura,38.93,1
38.93.Z0,Altro cateterismo venoso non classificato altrove,procedura,38.93,1
38.94,Preparazione di vena per incannulamento,category,38.9,0
38.94.A0,Rimozione di catetere tunnellizzato. asportazione di catetere tipo port o groshong,procedura,38.94,1
38.95,Cateterismo venoso per dialisi renale,category,38.9,0
38.95.10,Posizionamento catetere venoso femorale temporaneo per dialisi renale,procedura,38.95,1
38.95.20,Posizionamento catetere venoso femorale permanente con tunnellizzazione per dialisi renale,procedura,38.95,1
38.95.30,Sostituzione o rimozione di catetere venoso femorale temporaneo per dialisi renale,procedura,38.95,1
38.95.40,Sostituzione o rimozione di catetere venoso femorale permanente con tunnellizzazione per dialisi renale,procedura,38.95,1
38.95.60,Posizionamento ecoguidato di catetere venoso centrale temporaneo per dialisi renale,procedura,38.95,1
38.95.80,Posizionamento ecoguidato di catetere venoso centrale permanente per dialisi renale con tunnellizzazione,procedura,38.95,1
38.95.90,Posizionamento di catetere venoso centrale permanente unico per dialisi extracorporea con tunnellizzazione,procedura,38.95,1
38.95.A0,Posizionamento di catetere venoso centrale permanente doppio per dialisi extracorporea con tunnellizzazione,procedura,38.95,1
38.96,Rimozione di sistema di cateterismo permanente,category,38.9,0
38.96.0B,Rimozione di sistema di cateterismo permanente,procedura,38.96,1
38.9Z.00,Altra puntura di arteria,procedura,38.9Z,1
38.9Z.10,Altra puntura di vena,procedura,38.9Z,1
38.A,Perfusione antiblastica ipossica,block,38,0
38.A1,Perfusione antiblastica a livello addominale,category,38.A,0
38.A1.0B,"Perfusione antiblastica a livello addominale, accesso endovascolare percutaneo",procedura,38.A1,1
38.A2,Perfusione antiblastica a livello degli arti inferiori,category,38.A,0
38.A2.0B,"Perfusione antiblastica a livello degli arti inferiori, accesso endovascolare percutaneo",procedura,38.A2,1
39,Altri interventi sui vasi,chapter,,0
39.0,Anastomosi arterioso sistemico polmonare,block,39,0
39.00.00,Anastomosi arterioso sistemico-polmonare (Shunt di Damus-Kay-Stansel),procedura,39.00,1
39.00.10,Anastomosi succlavia-polmonare (Blalock-Taussig),procedura,39.00,1
39.00.20,Anastomosi aorta-polmonare destra (Waterston-Cooley),procedura,39.00,1
39.00.30,Anastomosi aorta discendente-polmonare sinistra (Potts-Smith),procedura,39.00,1
39.00.40,Anastomosi polmonare sinistra-destra,procedura,39.00,1
39.00.50,Shunt protesico polmonare-aortico,procedura,39.00,1
39.00.60,Banding dell'arteria polmonare,procedura,39.00,1
39.1,Anastomosi venosa intraaddominale,block,39,0
39.10.10,Derivazione porto-sistemica intraepatica transgiugulare [TIPS],procedura,39.10,1
39.10.20,Anastomosi venosa intraddominale (IAVS),procedura,39.10,1
39.10.30,Ricanalizzazione derivazione porto-sistemica intraepatica transgiugulare [TIPS],procedura,39.10,1
39.2,Altre anastomosi o bypass vascolari,block,39,0
39.21,Anastomosi vena cava e arteria polmonare,category,39.2,0
39.21.1C,"Anastomosi vena cava-arteria polmonare, a cielo aperto",procedura,39.21,1
39.21.2C,Intervento di Glenn su cuore funzionalmente/morfologicamente monoventricolare [anastomosi cavo-polmonare bidirezionale (BCPA)],procedura,39.21,1
39.22,Bypass aorto-succlavio-carotideo,category,39.2,0
39.22.1C,Rivascolarizzazione dei tronchi sovraortici mediante bypass aorto-succlavio-carotideo chirurgico aperto,procedura,39.22,1
39.22.1S,Rivascolarizzazione dei tronchi sovraortici mediante bypass aorto-succlavio-carotideo con accesso mini-invasivo toracoscopico,procedura,39.22,1
39.22.2C,"Rivascolarizzazione dei tronchi sovraortici mediante bypass succlavio carotideo, a cielo aperto",procedura,39.22,1
39.22.3C,"Rivascolarizzazione dei tronchi sovraortici mediante bypass carotido-carotideo, a cielo aperto",procedura,39.22,1
39.22.4C,"Rivascolarizzazione dei tronchi sovraortici mediante bypass carotido-carotido-succlavio, a cielo aperto",procedura,39.22,1
39.22.Z0,Altro bypass aorto-succlavio-carotideo,procedura,39.22,1
39.23,Altra anastomosi o bypass vascolare intratoracico,category,39.2,0
39.23.0C,"Bypass vascolare intra-toracico, a cielo aperto",procedura,39.23,1
39.23.Z0,Altro bypass vascolare intratoracico,procedura,39.23,1
39.24,Bypass aorto-renale,category,39.2,0
39.24.0C,"Bypass aorto-renale, a cielo aperto",procedura,39.24,1
39.24.1C,"Doppio bypass aorto-renale simultaneo, a cielo aperto",procedura,39.24,1
39.25,Bypass aorto-iliaco-femorale,category,39.2,0
39.25.1B,"Bypass aorto-iliaco-femorale (anatomico) (con inserzione graft), endovascolare percutaneo",procedura,39.25,1
39.25.1C,"Bypass aorto-iliaco-femorale (anatomico) (con inserzione graft), a cielo aperto",procedura,39.25,1
39.25.2C,"Bypass aorto-iliaco-bifemorale (anatomico) (con inserzione graft biforcato), a cielo aperto",procedura,39.25,1
39.25.3C,Rivascolarizzazione degli arti inferiori mediante bypass (extra-anatomico) Femoro-Femorale [trasposizione di vasi] a cielo aperto,procedura,39.25,1
39.25.4C,"Rivascolarizzazione degli arti inferiori mediante bypass (extra-anatomico) Femoro-Femorale [graft], a cielo aperto",procedura,39.25,1
39.25.5C,"Rivascolarizzazione degli arti inferiori mediante bypass (extra-anatomico) axillofemorale o bifemorale [graft], a cielo aperto",procedura,39.25,1
39.25.6C,"Bypass iliaco-femorale con inserzione di graft, a cielo aperto",procedura,39.25,1
39.25.7C,"Bypass iliaco-femorale con condotto autologo, a cielo aperto",procedura,39.25,1
39.25.Z0,Altro bypass aorto-iliaco-femorale,procedura,39.25,1
39.26,Altri anastomosi o bypass vascolari intraaddominali,category,39.2,0
39.26.1C,"Bypass aortoceliaco [graft], a cielo aperto",procedura,39.26,1
39.26.2C,"Bypass aortico superiore mesenterico [graft], a cielo aperto",procedura,39.26,1
39.26.3C,"Bypass epatica comune-iliaca [graft], a cielo aperto",procedura,39.26,1
39.26.4C,"Bypass epatica comune-renale [graft], a cielo aperto",procedura,39.26,1
39.26.5C,"Bypass aorto-iliaco-mesenterico [graft], a cielo aperto",procedura,39.26,1
39.26.6C,"Bypass iliaco mesenterico [graft], a cielo aperto",procedura,39.26,1
39.26.7C,"Bypass spleno-renale (sec. Warren) [graft], a cielo aperto",procedura,39.26,1
39.26.8C,"Bypass aortoceliaco [protesi tubolare], a cielo aperto",procedura,39.26,1
39.26.9C,"Bypass aortico superiore mesenterico [protesi tubolare], a cielo aperto",procedura,39.26,1
39.26.AC,"Bypass epatica comune-iliaca [protesi tubolare], a cielo aperto",procedura,39.26,1
39.26.BC,"Bypass epatica comune-renale [protesi tubolare], a cielo aperto",procedura,39.26,1
39.26.CC,"Bypass aorto-iliaco-mesenterico [protesi tubolare], a cielo aperto",procedura,39.26,1
39.26.DC,"Bypass iliaco mesenterico [protesi tubolare], a cielo aperto",procedura,39.26,1
39.26.EC,"Bypass spleno-renale (sec. Warren) [protesi tubolare], a cielo aperto",procedura,39.26,1
39.26.Z0,Altri bypass vascolari intra-addominali,procedura,39.26,1
39.27,Arteriovenostomia per dialisi renale,category,39.2,0
39.27.1C,Confezionamento di anastomosi periferica arterovenosa per dialisi renale [a cielo aperto],procedura,39.27,1
39.27.2C,Confezionamento di anastomosi prossimale arterovenosa per dialisi renale [a cielo aperto],procedura,39.27,1
39.27.3C,Impianto di protesi vascolare per emodialisi (FAVp) [a cielo aperto],procedura,39.27,1
39.27.4B,Confezionamento di fistola artero-venosa per l'emodialisi mediante stent graft [endovascolare],procedura,39.27,1
39.27.5B,"Confezionamento di fistola arterovenosa per dialisi renale, per via endovascolare, mediante energia",procedura,39.27,1
39.27.Z0,Altra arteriovenostomia per dialisi renale,procedura,39.27,1
39.28,Bypass vascolare extracranico-intracranico (EC-IC),category,39.2,0
39.28.00,Bypass vascolare extracranico-intracranico (EC-IC) [con craniotomia],procedura,39.28,1
39.29,Altri anastomosi o bypass vascolari (periferici),category,39.2,0
39.29.Z1,Altri bypass vascolari dell'arto inferiore,procedura,39.29,1
39.29.Z2,Altri bypass vascolari degli degli arti superiori,procedura,39.29,1
39.29.Z3,Altri bypass vascolari (periferici),procedura,39.29,1
39.2A,Altri anastomosi o bypass vascolari (periferici) mediante graft,category,39.2,0
39.2A.1C,"Bypass ascellare-brachiale, mediante graft, a cielo aperto",procedura,39.2A,1
39.2A.2C,"Bypass ascello-femorale, mediante graft, a cielo aperto",procedura,39.2A,1
39.2A.3C,"Bypass femoro-femorale, mediante graft, a cielo aperto",procedura,39.2A,1
39.2A.4C,"Bypass femoroperoneale, mediante graft, a cielo aperto",procedura,39.2A,1
39.2A.5C,"Bypass femoro-popliteo, mediante graft, a cielo aperto",procedura,39.2A,1
39.2A.6C,"Bypass femoro-tibiale, mediante graft, a cielo aperto",procedura,39.2A,1
39.2A.7C,"Bypass iliaca esterna-femorale, mediante graft, a cielo aperto",procedura,39.2A,1
39.2A.8C,"Bypass su vasi del piede, mediante graft, a cielo aperto",procedura,39.2A,1
39.2B,Altri anastomosi o bypass vascolari (periferici) mediante condotto autologo,category,39.2,0
39.2B.1C,"Bypass ascellare-brachiale, mediante condotto autologo, a cielo aperto",procedura,39.2B,1
39.2B.2C,"Bypass ascello-femorale, mediante condotto autologo, a cielo aperto",procedura,39.2B,1
39.2B.3C,"Bypass femoro-femorale, mediante condotto autologo, a cielo aperto",procedura,39.2B,1
39.2B.4C,"Bypass femoroperoneale, mediante condotto autologo, a cielo aperto",procedura,39.2B,1
39.2B.5C,"Bypass femoro-popliteo, mediante condotto autologo, a cielo aperto",procedura,39.2B,1
39.2B.6C,"Bypass femoro-tibiale singolo, mediante condotto autologo, a cielo aperto",procedura,39.2B,1
39.2B.7C,"Bypass femoro-tibiale sequenziale, mediante condotto autologo, a cielo aperto",procedura,39.2B,1
39.2B.8C,"Bypass iliaca esterna-femorale, mediante condotto autologo, a cielo aperto",procedura,39.2B,1
39.2B.9C,"Bypass singolo su vasi del piede, mediante condotto autologo, a cielo aperto",procedura,39.2B,1
39.2B.AC,"Bypass sequenziale su vasi del piede, mediante condotto autologo, a cielo aperto",procedura,39.2B,1
39.3,Sutura di vasi,block,39,0
39.31,Sutura di arteria,category,39.3,0
39.31.20,Sutura di arteria di testa o collo,procedura,39.31,1
39.31.30,Sutura di arteria toracica,procedura,39.31,1
39.31.40,Sutura di arteria di arto superiore,procedura,39.31,1
39.31.50,Sutura di arteria di addominale,procedura,39.31,1
39.31.60,Sutura di arteria di arto inferiore,procedura,39.31,1
39.32,Sutura di vena,category,39.3,0
39.32.20,Sutura di vena di testa o collo,procedura,39.32,1
39.32.30,Sutura di vena toracica,procedura,39.32,1
39.32.40,Sutura di vena di arto superiore,procedura,39.32,1
39.32.50,Sutura di vena addominale,procedura,39.32,1
39.32.60,Sutura di vena di arto inferiore,procedura,39.32,1
39.3Z.00,Altra sutura di vasi sanguigni,procedura,39.3Z,1
39.4,Revisione di interventi vascolari,block,39,0
39.41,Controllo di emorragia a seguito di procedura chirugica o interventistica,category,39.4,0
39.41.10,Controllo di emorragia a seguito di procedura interventistica,procedura,39.41,1
39.41.20,Evacuazione di ematoma a seguito di procedura interventistica,procedura,39.41,1
39.41.30,Controllo di emorragia a seguito di chirurgia,procedura,39.41,1
39.41.40,Evacuazione di ematoma a seguito di chirurgia,procedura,39.41,1
39.42,Revisione di anastomosi arterovenoso per dialisi renale,category,39.4,0
39.42.1C,Revisione chirugica di fistola periferica arterovenosa per dialisi renale,procedura,39.42,1
39.42.2C,Revisione chirurgica di fistola periferica arterovenosa per dialisi renale con impianto di protesi vascolare,procedura,39.42,1
39.42.3C,Lipectomia su fistola arteriovenosa,procedura,39.42,1
39.42.4B,Riparazione endoluminale fistola dialitica (tromboaspirazione),procedura,39.42,1
39.42.5B,Riparazione endoluminale fistola dialitica (con angioplastica percutanea),procedura,39.42,1
39.42.6C,Riparazione fistola arterovenosa (con aneurismectomia),procedura,39.42,1
39.42.70,Disostruzione con trombolitici di fistola arterovenosa (con urochinasi e/o rtpa),procedura,39.42,1
39.42.8B,Riparazione endovascolare percutanea di anastomosi artero-venoso [fistola artero-venosa] per dialisi renale con stent graft,procedura,39.42,1
39.42.9B,Riparazione di anastomosi artero-venoso [fistola artero-venosa] per dialisi renale con microsfere a rilascio di farmaco [DEB] [endovascolare],procedura,39.42,1
39.42.AB,Riparazione di anastomosi artero-venoso [fistola artero-venosa] per dialisi renale con angioplastica [endovascolare],procedura,39.42,1
39.42.Z0,Altra revisione di anastomosi arterovenoso per dialisi renale,procedura,39.42,1
39.43,Rimozione di anastomosi arterovenoso per dialisi renale,category,39.4,0
39.43.1C,Chiusura di fistola periferica arterovenosa per dialisi renale,procedura,39.43,1
39.43.2C,Chiusura di fistola periferica arterovenosa per dialisi renale e aneurismectomia,procedura,39.43,1
39.49,Altra revisione di interventi vascolari,category,39.4,0
39.49.1B,Valutazione del ricircolo di fistola arterovenosa,procedura,39.49,1
39.49.2B,Valutazione della portata della fistola arterovenosa,procedura,39.49,1
39.49.3C,Superficializzazione di vena basilica,procedura,39.49,1
39.49.4C,Revisione di anastomosi vascolare di lembo microchirurgico,procedura,39.49,1
39.49.Z0,Altra revisione di anastomosi vascolare,procedura,39.49,1
39.5,Altra riparazione di vasi,block,39,0
39.51,Clipping di aneurismi,category,39.5,0
39.51.1C,Restrizione a cielo aperto di aneurismi intracranici mediante clip (extraluminale),procedura,39.51,1
39.51.2C,"Restrizione di aneurismi extracranici mediante clip (extraluminale), a cielo aperto",procedura,39.51,1
39.52,Altra riparazione di aneurisma,category,39.5,0
39.52.1C,"Riparazione di aneurisma [non coronarico], a cielo aperto",procedura,39.52,1
39.52.Z0,Altra riparazione di aneurisma,procedura,39.52,1
39.53,Riparazione di fistola arteriovenosa,category,39.5,0
39.53.Z0,Altra riparazione di fistola arteriovenosa,procedura,39.53,1
39.54,Intervento di dissezione dell’aorta,category,39.5,0
39.54.0C,"Fenestrazione di aneurisma dissecante dell'aorta toracica, a cielo aperto",procedura,39.54,1
39.55,Reimpianto di vaso renale aberrante,category,39.5,0
39.55.0C,"Reimpianto di vaso renale aberrante, a cielo aperto",procedura,39.55,1
39.56,Riparazione di vaso sanguigno con patch autologo,category,39.5,0
39.56.1C,Riparazione di arteria di testa o collo con innesto di tessuto autologo [a cielo aperto],procedura,39.56,1
39.56.2C,Riparazione di arteria toracica con innesto di tessuto autologo [a cielo aperto],procedura,39.56,1
39.56.3C,Riparazione di arteria di arto superiore con innesto di tessuto autologo [a cielo aperto],procedura,39.56,1
39.56.4C,Riparazione di arteria addominale con innesto di tessuto autologo [a cielo aperto],procedura,39.56,1
39.56.5C,Riparazione di arteria di arto inferiore con innesto di tessuto autologo [a cielo aperto],procedura,39.56,1
39.56.6C,Riparazione di vena di testa o collo con innesto di tessuto autologo [a cielo aperto],procedura,39.56,1
39.56.7C,Riparazione di vena toracica con innesto di tessuto autologo [a cielo aperto],procedura,39.56,1
39.56.8C,Riparazione di vena di arto superiore con innesto di tessuto autologo [a cielo aperto],procedura,39.56,1
39.56.9C,Riparazione di vena addominale con innesto di tessuto autologo [a cielo aperto],procedura,39.56,1
39.56.AC,Riparazione di vena di arto inferiore con innesto di tessuto autologo [a cielo aperto],procedura,39.56,1
39.57,Riparazione di vaso sanguigno con patch sintetico,category,39.5,0
39.57.1C,Riparazione di arteria di testa o collo con innesto di tessuto sintetico [a cielo aperto],procedura,39.57,1
39.57.2C,Riparazione di arteria toracica con innesto di tessuto sintetico [a cielo aperto],procedura,39.57,1
39.57.3C,Riparazione di arteria di arto superiore con innesto di tessuto sintetico [a cielo aperto],procedura,39.57,1
39.57.4C,Riparazione di arteria addominale con innesto di tessuto sintetico [a cielo aperto],procedura,39.57,1
39.57.5C,Riparazione di arteria di arto inferiore con innesto di tessuto sintetico [a cielo aperto],procedura,39.57,1
39.57.6C,Riparazione di vena di testa o collo con innesto di tessuto sintetico [a cielo aperto],procedura,39.57,1
39.57.7C,Riparazione di vena toracica con innesto di tessuto sintetico [a cielo aperto],procedura,39.57,1
39.57.8C,Riparazione di vena di arto superiore con innesto di tessuto sintetico [a cielo aperto],procedura,39.57,1
39.57.9C,Riparazione di vena addominale con innesto di tessuto sintetico [a cielo aperto],procedura,39.57,1
39.57.AC,Riparazione di vena di arto inferiore con innesto di tessuto sintetico [a cielo aperto],procedura,39.57,1
39.58,Riparazione di vaso sanguigno con patch di tipo non specificato,category,39.5,0
39.58.Z0,Riparazione di vaso sanguigno con patch di tipo non specificato,procedura,39.58,1
39.59,Altra riparazione di vasi,category,39.5,0
39.59.00,Riparazione di finestra aortopolmonare,procedura,39.59,1
39.59.10,Costruzione di valvole venose periferiche,procedura,39.59,1
39.59.20,Plicatura di vena periferica,procedura,39.59,1
39.59.30,Reimpianto di arteria,procedura,39.59,1
39.59.Z0,Altra riparazione di vasi,procedura,39.59,1
39.5A,Angioplastica [percutanea] di vasi della testa e del collo,category,39.5,0
39.5A.1B,Angioplastica percutanea carotidea,procedura,39.5A,1
39.5A.2B,Angioplastica percutanea carotidea con inserzione di stent,procedura,39.5A,1
39.5A.3B,Angioplastica percutanea arteria vertebrale/basilare,procedura,39.5A,1
39.5A.4B,Angioplastica percutanea arteria vertebrale/basilare con inserzione di stent,procedura,39.5A,1
39.5A.5B,Angioplastica percutanea dei vasi intracranici,procedura,39.5A,1
39.5A.6B,Angioplastica percutanea dei vasi intracranici con inserzione di microstents vascolari,procedura,39.5A,1
