code,description,type,parent,is_billable
00.F0.90,Infusione di terapia anticorpale immunosoppressiva durante la fase di induzione di trapianto di organo solido,procedura,00.F0,1
00.R,Procedure Robot-assistite,block,00,0
00.R0,Chirurgia robotica con sistema teleoperante,category,00.R,0
00.R0.1W,Chirurgia robot-assistita con sistema teleoperante,procedura,00.R0,1
00.R0.2W,Chirurgia completamente robotica [fully robotic] con sistema teleoperante,procedura,00.R0,1
00.R0.ZW,Altra chirurgia robotica con altro sistema teleoperante,procedura,00.R0,1
00.R1,Chirurgia robotica con sistema assistivo,category,00.R,0
00.R1.1W,Chirurgia robot-assistita con sistema assistivo [non tele-operante],procedura,00.R1,1
00.R2,Chirurgia robot-assistita [RAS] con sistema motorizzato,category,00.R,0
00.R2.1W,Chirurgia robot-assistita con sistema motorizzato [non tele-operante],procedura,00.R2,1
00.R3,Chirurgia robot-assistita [RAS] con sistema automatico (programmabile),category,00.R,0
00.R3.1W,Chirurgia robot-assistita con GammaKnife,procedura,00.R3,1
00.R3.2W,Chirurgia robot-assistita con CyberKnife,procedura,00.R3,1
00.R3.ZW,Chirurgia robot-assistita con altro sistema automatico programmabile,procedura,00.R3,1
00.RZ.0W,Altre procedure robot-assistite,procedura,00.RZ,1
00.U,Terapia ad ultrasuoni o terapia ad onde d'urto,block,00,0
00.UZ.10,Altre terapie ad ultrasuoni,procedura,00.UZ,1
00.UZ.20,Altre terapie ad onde d'urto,procedura,00.UZ,1
01,"Incisioni ed asportazioni di patologia del cranio, del cervello e delle meningi cerebrali",chapter,,0
01.0,Puntura transcranica (trapanazione del cranio),block,01,0
01.01,Puntura delle cisterne,category,01.0,0
01.01.1T,"Impianto di catetere cisternale, mediante foro di trapano",procedura,01.01,1
01.01.Z0,Altra puntura delle cisterne,procedura,01.01,1
01.02,Puntura ventricolare mediante catetere già impiantato,category,01.0,0
01.02.2Y,Sostituzione di catetere ventricolare già impiantato,procedura,01.02,1
01.02.Z0,Altra puntura ventricolare mediante catatere già impiantato,procedura,01.02,1
01.09,Altra puntura del cranio,category,01.0,0
01.09.1T,"Aspirazione dallo spazio sottodurale/subaracnoideo, mediante foro di trapano",procedura,01.09,1
01.09.2P,"Puntura percutanea sottodurale, attraverso fontanella",procedura,01.09,1
01.09.3P,Puntura percutanea della fontanella anteriore,procedura,01.09,1
